"module name","version","licenses","repository"
"@babel/code-frame@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/generator@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"@babel/helper-function-name@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"@babel/helper-get-function-arity@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"@babel/helper-split-export-declaration@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration"
"@babel/highlight@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/template@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"@babel/traverse@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"@babel/types@7.0.0-beta.44","7.0.0-beta.44","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"abbrev@1.1.1","1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"acorn-jsx@3.0.1","3.0.1","MIT","https://github.com/RReverser/acorn-jsx"
"acorn@3.3.0","3.3.0","MIT","https://github.com/ternjs/acorn"
"acorn@5.5.3","5.5.3","MIT","https://github.com/acornjs/acorn"
"ajv-keywords@2.1.1","2.1.1","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@5.5.2","5.5.2","MIT","https://github.com/epoberezkin/ajv"
"ansi-escapes@3.0.0","3.0.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@2.1.1","2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@3.0.0","3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.0","3.2.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.1","3.2.1","MIT","https://github.com/chalk/ansi-styles"
